Date,Close,High,Low,Open,Volume,Return,Rolling_GARCH_Vol,RiskMetrics_Vol,VIX_Daily_Shifted,RSI,LSTM_VaR,Historical_VaR,Parametric_VaR,QuantileReg_VaR,PolyReg_VaR
2001-05-16,1284.989990234375,1286.3900146484375,1243.02001953125,1249.43994140625,1405300000,2.805552457975033,1.2233187499546814,1.334737041494925,1.4935895515019946,0.683604590276459,,,-3.1050626788852798,,
2001-05-17,1288.489990234375,1296.47998046875,1282.6500244140625,1284.989990234375,1355600000,0.2720053922715442,1.3902486985211426,1.4652300390755348,1.3789403472467965,0.6438560326877245,,,-3.4086347863841486,,
2001-05-18,1291.9599609375,1292.06005859375,1281.1500244140625,1288.489990234375,1130800000,0.2689432355072174,1.3435102669130787,1.4221548225739078,1.3524828293300837,0.6728474457761615,,,-3.3084268480517394,,
2001-05-21,1312.8299560546875,1312.949951171875,1287.8699951171875,1291.9599609375,1174900000,1.6024664084721572,1.2990438222578298,1.380403095781633,1.3373642648279147,0.6811718919271663,,,-3.211297807190997,,
2001-05-22,1309.3800048828125,1315.9300537109375,1306.8900146484375,1312.8299560546875,1260400000,-0.2631332512547939,1.3224010069630252,1.3947242952819756,1.3077570910301266,0.6609854326508503,,,-3.2446138992023337,,
2001-05-23,1289.050048828125,1309.3800048828125,1288.699951171875,1309.3800048828125,1134800000,-1.5648195622524033,1.2789062217558955,1.3537706063930368,1.3449236071548345,0.6566753641058544,,,-3.149341372121421,,
2001-05-24,1293.1700439453125,1295.0400390625,1281.219970703125,1289.050048828125,1100700000,0.3191051471414715,1.3011394150449285,1.367352470723702,1.3909092558678893,0.6144621728126347,,,-3.180937513332575,,
2001-05-25,1277.8900146484375,1293.1700439453125,1276.4200439453125,1293.1700439453125,828100000,-1.1886310588375482,1.2595876148087708,1.3279997357448874,1.2957881824090334,0.5565336364449578,,,-3.089389361976917,,
2001-05-29,1267.9300537109375,1278.4200439453125,1265.4100341796875,1277.8900146484375,1026000000,-0.782459992146223,1.2560584867658806,1.3200526231526444,1.2976780480286807,0.5250845101391891,,,-3.0709016134931892,,
2001-05-30,1248.0799560546875,1267.9300537109375,1245.9599609375,1267.9300537109375,1158600000,-1.5779356558458757,1.230954322520707,1.2941102003219105,1.394688866955514,0.4746113549790348,,,-3.010550513293443,,
2001-05-31,1255.8199462890625,1261.9100341796875,1248.0699462890625,1248.0799560546875,1226600000,0.6182367657796666,1.2590401378771787,1.3128712023583908,1.433745248699869,0.5020674621955348,,,-3.0541951304958848,,
2001-06-01,1260.6700439453125,1265.3399658203125,1246.8800048828125,1255.8199462890625,1015000000,0.3854657622684866,1.2274133864602874,1.2818525454422405,1.4261859063729496,0.55007886278852,,,-2.9820349439233964,,
2001-06-04,1267.1099853515625,1267.1700439453125,1256.3599853515625,1260.6700439453125,836500000,0.50953447410036,1.1909885050566391,1.2463836578655143,1.3600421716570028,0.5592606596612684,,,-2.8995219727146857,,
2001-06-05,1283.5699462890625,1286.6199951171875,1267.1099853515625,1267.1099853515625,1116800000,1.2906511100564182,1.1597617714205668,1.2148421346234128,1.3468133526228114,0.6001930701731105,,,-2.8261454171764133,,
2001-06-06,1270.030029296875,1283.8499755859375,1269.010009765625,1283.5699462890625,1061900000,-1.060467106196446,1.1717233607963435,1.2195235727965164,1.2334240587807113,0.4499721100984568,,,-2.837036070917866,,
2001-06-07,1276.9599609375,1277.0799560546875,1265.0799560546875,1270.030029296875,1089600000,0.5441677248723177,1.1669910085085309,1.210569662980812,1.284449228994489,0.4624718310262923,,,-2.8162061618537493,,
2001-06-08,1264.9599609375,1277.1099853515625,1259.989990234375,1276.9599609375,726200000,-0.9441752309571274,1.1382145294238502,1.181235490984449,1.2390935354879833,0.4165302009693124,,,-2.7479646731932617,,
2001-06-11,1254.3900146484375,1264.9599609375,1249.22998046875,1264.9599609375,870100000,-0.8391059924567633,1.1081672855411353,1.1683690598679737,1.2548420551967012,0.3084787412950284,,,-2.7180328785189563,,
2001-06-12,1255.8499755859375,1261.0,1235.75,1254.3900146484375,1136500000,0.1163204401009928,1.0952592475012546,1.1512719124724518,1.303977479942502,0.3222431587108559,,,-2.678258966023221,,
2001-06-13,1241.5999755859375,1259.75,1241.5899658203125,1255.8499755859375,1063600000,-1.1411763938773378,1.060576730453189,1.116563129495245,1.303977479942502,0.3343056215058104,,,-2.597514262533651,,
2001-06-14,1219.8699951171875,1241.5999755859375,1218.9000244140625,1241.5999755859375,1242900000,-1.7656559095685551,1.0715755883188762,1.118055205495639,1.3512230390686553,0.2714181074744354,,,-2.6009853503650753,,
2001-06-15,1214.3599853515625,1221.5,1203.030029296875,1219.8699951171875,1635550000,-0.4527114710082972,1.1393972326747432,1.1670891326044484,1.456423155528957,0.2880244292645837,,,-2.715055322450527,,
2001-06-18,1208.4300537109375,1221.22998046875,1208.3299560546875,1214.3599853515625,1111600000,-0.4895136092087169,1.1081282392201932,1.1369556198004165,1.4368949045809445,0.2952144479157661,,,-2.644954289001485,,
2001-06-19,1212.5799560546875,1226.1099853515625,1207.7099609375,1208.4300537109375,1184900000,0.3428243907661208,1.0800898447671838,1.1088216317009858,1.4595728114100326,0.3625903194453935,,,-2.5795048455980845,,
